source,destination,timestamp,reporter,value
checkoutservice,currencyservice,1739228560,destination,20700
checkoutservice,emailservice,1739228560,destination,10085
checkoutservice,paymentservice,1739228560,destination,10119
checkoutservice,productcatalogservice,1739228560,destination,10753
checkoutservice,shippingservice,1739228560,destination,20236
frontend,adservice,1739228560,destination,96187
frontend,cartservice,1739228560,destination,231971
frontend,checkoutservice,1739228560,destination,11580
frontend,currencyservice,1739228560,destination,680809
frontend,productcatalogservice,1739228560,destination,966875
frontend,recommendationservice,1739228560,destination,140232
frontend,shippingservice,1739228560,destination,67595
recommendationservice,productcatalogservice,1739228560,destination,141892
unknown,frontend,1739228560,destination,267325
checkoutservice,cartservice,1739228620,destination,20629
checkoutservice,currencyservice,1739228620,destination,20996
checkoutservice,emailservice,1739228620,destination,10227
checkoutservice,paymentservice,1739228620,destination,10256
checkoutservice,productcatalogservice,1739228620,destination,10904
checkoutservice,shippingservice,1739228620,destination,20508
frontend,adservice,1739228620,destination,97448
frontend,cartservice,1739228620,destination,235012
frontend,checkoutservice,1739228620,destination,11716
frontend,currencyservice,1739228620,destination,689951
frontend,productcatalogservice,1739228620,destination,979288
frontend,recommendationservice,1739228620,destination,142058
frontend,shippingservice,1739228620,destination,68488
recommendationservice,productcatalogservice,1739228620,destination,143756
unknown,frontend,1739228620,destination,270510
checkoutservice,cartservice,1739228680,destination,20894
checkoutservice,currencyservice,1739228680,destination,21274
checkoutservice,emailservice,1739228680,destination,10362
checkoutservice,paymentservice,1739228680,destination,10389
checkoutservice,productcatalogservice,1739228680,destination,11045
checkoutservice,shippingservice,1739228680,destination,20774
frontend,adservice,1739228680,destination,98741
frontend,cartservice,1739228680,destination,238132
frontend,checkoutservice,1739228680,destination,11855
frontend,currencyservice,1739228680,destination,698945
frontend,productcatalogservice,1739228680,destination,991720
frontend,recommendationservice,1739228680,destination,143922
frontend,shippingservice,1739228680,destination,69378
recommendationservice,productcatalogservice,1739228680,destination,145620
unknown,frontend,1739228680,destination,273770
checkoutservice,cartservice,1739228740,destination,21160
checkoutservice,currencyservice,1739228740,destination,21548
checkoutservice,emailservice,1739228740,destination,10490
checkoutservice,paymentservice,1739228740,destination,10524
checkoutservice,productcatalogservice,1739228740,destination,11180
checkoutservice,shippingservice,1739228740,destination,21044
frontend,adservice,1739228740,destination,100043
frontend,cartservice,1739228740,destination,241111
frontend,checkoutservice,1739228740,destination,11981
frontend,currencyservice,1739228740,destination,708132
frontend,productcatalogservice,1739228740,destination,1003894
frontend,recommendationservice,1739228740,destination,145783
frontend,shippingservice,1739228740,destination,70278
recommendationservice,productcatalogservice,1739228740,destination,147448
unknown,frontend,1739228740,destination,276911
checkoutservice,cartservice,1739228800,destination,21431
checkoutservice,currencyservice,1739228800,destination,21817
checkoutservice,emailservice,1739228800,destination,10629
checkoutservice,paymentservice,1739228800,destination,10661
checkoutservice,productcatalogservice,1739228800,destination,11324
checkoutservice,shippingservice,1739228800,destination,21318
frontend,adservice,1739228800,destination,101335
frontend,cartservice,1739228800,destination,244233
frontend,checkoutservice,1739228800,destination,12120
frontend,currencyservice,1739228800,destination,717092
frontend,productcatalogservice,1739228800,destination,1016666
frontend,recommendationservice,1739228800,destination,147614
frontend,shippingservice,1739228800,destination,71186
recommendationservice,productcatalogservice,1739228800,destination,149363
unknown,frontend,1739228800,destination,280218
checkoutservice,cartservice,1739228860,destination,21702
